Date,month,NestID,ClutchSize,TQ,GS,RW,Territory,Year,Pair,InitDateEst,female,mean,delta
3-Sep-07,3,147,3,11,2,0,26,2007,74,4-Sep-07,12,92.01,-92.01
30-Dec-07,6,166,3,11,3,201.3,26,2007,74,30-Dec-07,12,92.01,109.29
21-Jan-08,7,203,3,11,3,241.4,26,2007,74,21-Jan-08,12,92.01,149.39
3-Mar-08,9,242,4,11,3,293.4,26,2007,74,3-Mar-08,12,92.01,201.39
19-Mar-08,9,270,3,11,3,100,26,2007,74,20-Mar-08,12,92.01,7.99
12-Mar-09,9,366,4,11,2,154.4,26,2008,79,12-Mar-09,12,92.01,62.39
16-Nov-09,5,426,3,11,3,64.6,26,2009,79,16-Nov-09,12,92.01,-27.41
8-Feb-10,8,453,3,11,3,154.2,26,2009,79,8-Feb-10,12,92.01,62.19
29-Jul-10,1,496,3,11,6,36.55,26,2010,79,30-Jul-10,12,92.01,-55.46
29-Aug-10,2,514,2,11,6,0.55,26,2010,79,30-Aug-10,12,92.01,-91.46
1-Apr-06,10,9,4,13,3,124.1,12,2005,154,2-Apr-06,13,131.01,-6.91
29-Aug-06,2,45,3,13,5,0,12,2006,154,30-Aug-06,13,131.01,-131.01
23-Jan-07,7,185,3,13,7,161.2,12,2006,154,24-Jan-07,13,131.01,30.19
25-Nov-07,5,155,3,13,5,6.6,12,2007,154,25-Nov-07,13,131.01,-124.41
28-Dec-07,6,171,4,13,5,204.1,12,2007,154,28-Dec-07,13,131.01,73.09
19-Feb-08,8,230,3,13,3,290.4,12,2007,154,19-Feb-08,13,131.01,159.39
2-Jan-06,7,76,4,15,2,202.21,8,2005,157,16-Jan-06,14,116.23,85.98
10-Sep-06,3,51,3,15,3,0,8,2006,157,11-Sep-06,14,116.23,-116.23
2-Feb-07,8,172,3,15,5,143.9,8,2006,157,2-Feb-07,14,116.23,27.67
8-Sep-07,3,142,3,15,4,0,8,2007,157,8-Sep-07,14,116.23,-116.23
23-Dec-07,6,201,1,15,4,201.3,8,2007,157,31-Dec-07,14,116.23,85.07
